device=cuda:0 sha=09c27e8f3879 config={'dataset': 'tkgl-wikidata', 'seed': 43, 'model': 'faithful', 'feedback_dim': 16, 'no_memory_readout': False, 'sheaf_conditioning': 'history', 'epochs': 4, 'patience': None, 'min_epochs': 1, 'time_window': None, 'context_edges': 50000, 'train_edges_cap': 2000000, 'val_edges_cap': None, 'test_edges_cap': None, 'track_val_edges': 100000, 'no_dst_range': False, 'd': 2, 'layers': 2, 'hidden_channels': 8, 'temporal_d_model': 32, 'closure_hops': 1, 'train_negatives_per_pos': 32, 'candidate_chunk_size': 1024, 'max_score_elements': 4000000, 'bptt_steps': 1, 'lr': 0.003, 'weight_decay': 0.0, 'grad_clip': 1.0, 'skip_final_eval': False, 'out': 'results/event_bench/wd_f_lr3e3'}
split_source=official_tgb_masks
destination_range=None
snapshots: train=30 (edges=2000000) track_val=2 final_val=12 final_test=14 | prep_sec=7.5
negative-sample sets loaded in 45.5s
parameter_count=243316 num_relations=1192 num_nodes=1226440
[epoch 1/4] {'epoch': 1, 'train_loss': 0.4525192032257716, 'track_val_mrr': 0.008670000115595758, 'track_val_loss': 0.9906959533691406, 'train_sec': 604.8, 'track_eval_sec': 632.6, 'peak_gpu_mem_mb': 7124.6}
[epoch 2/4] {'epoch': 2, 'train_loss': 0.23126198401053746, 'track_val_mrr': 0.014369999822070822, 'track_val_loss': 1.2051284313201904, 'train_sec': 604.8, 'track_eval_sec': 634.6, 'peak_gpu_mem_mb': 7666.4}
[epoch 3/4] {'epoch': 3, 'train_loss': 0.14688372363646826, 'track_val_mrr': 0.007969999882467091, 'track_val_loss': 1.5346877574920654, 'train_sec': 607.0, 'track_eval_sec': 633.0, 'peak_gpu_mem_mb': 7666.4}
[epoch 4/4] {'epoch': 4, 'train_loss': 0.10441177586714427, 'track_val_mrr': 0.014489999874047935, 'track_val_loss': 1.8628246784210205, 'train_sec': 606.4, 'track_eval_sec': 645.5, 'peak_gpu_mem_mb': 7798.3}
final val_mrr=0.0188 (1076.3s so far)
FINAL val_mrr=0.0188 test_mrr=0.0121 eval_sec=1546.6
{
  "dataset": "tkgl-wikidata",
  "model": "FaithfulEventTemporalSheaf",
  "seed": 43,
  "epochs": 4,
  "best_track_epoch": 4,
  "best_track_val_mrr": 0.014489999874047935,
  "parameter_count": 243316,
  "commit_hash": "09c27e8f3879cb2cebf51a3f945374c3edfeb766",
  "train_edges": 2000000,
  "final_val_edges": 2869900,
  "final_test_edges": 2877500,
  "validation_mrr": 0.018821910416712006,
  "test_mrr": 0.012107384983055313,
  "final_val_loss": 1.4072133302688599,
  "final_test_loss": 1.3388738632202148,
  "final_eval_sec": 1546.6,
  "final_eval_peak_gpu_mem_mb": 7438.4
}
