reserved 10976 MiB of GPU memory on cuda:0 in the caching allocator (requested 10976; now reserved 10980 MiB)
device=cuda:0 sha=09c27e8f3879 config={'dataset': 'tkgl-wikidata', 'seed': 47, 'model': 'faithful', 'feedback_dim': 16, 'no_memory_readout': False, 'sheaf_conditioning': 'history', 'epochs': 4, 'patience': None, 'min_epochs': 1, 'time_window': None, 'context_edges': 50000, 'train_edges_cap': 2000000, 'val_edges_cap': None, 'test_edges_cap': None, 'track_val_edges': 300000, 'train_loss': 'softplus', 'learn_node_emb': False, 'emb_in_head': False, 'node_type_emb': False, 'predict_from_previous': True, 'reserve_gpu_mb': None, 'delta_time_scale': 'auto', 'sheaf_identity': False, 'no_delta_t': False, 'recurrency_symmetric': True, 'recurrency_untyped': True, 'cache_warm_history': False, 'recurrency_decoder': True, 'relation_in_input': True, 'no_dst_range': False, 'd': 2, 'layers': 2, 'hidden_channels': 8, 'temporal_d_model': 32, 'closure_hops': 1, 'train_negatives_per_pos': 32, 'candidate_chunk_size': 1024, 'max_score_elements': 4000000, 'bptt_steps': 1, 'lr': 0.003, 'weight_decay': 0.0, 'grad_clip': 1.0, 'skip_final_eval': False, 'save_checkpoint': True, 'eval_only': None, 'out': 'results/event_bench/leakfree2/wd_f_s47'}
split_source=official_tgb_masks
destination_range=None
snapshots: train=30 (edges=2000000) track_val=4 final_val=12 final_test=14 | prep_sec=24.9
negative-sample sets loaded in 59.4s
delta_time_scale=1 (Delta_k is measured in units of the median training inter-snapshot gap)
protocol: predict-from-previous-state (leak-free) for training and evaluation
parameter_count=355253 num_relations=1192 num_nodes=1226440
[epoch 1/4] {'epoch': 1, 'train_loss': 0.44485490383773013, 'track_val_mrr': 0.28333493249610064, 'track_val_loss': 0.6173855066299438, 'train_sec': 1078.1, 'track_eval_sec': 1227.2, 'peak_gpu_mem_mb': 9498.9}
[epoch 2/4] {'epoch': 2, 'train_loss': 0.19652742096062364, 'track_val_mrr': 0.6800517204029237, 'track_val_loss': 0.4108045697212219, 'train_sec': 1058.5, 'track_eval_sec': 1221.9, 'peak_gpu_mem_mb': 9996.5}
[epoch 3/4] {'epoch': 3, 'train_loss': 0.1437193545801886, 'track_val_mrr': 0.7129428683882704, 'track_val_loss': 0.37580615282058716, 'train_sec': 1073.7, 'track_eval_sec': 1225.4, 'peak_gpu_mem_mb': 9996.5}
[epoch 4/4] {'epoch': 4, 'train_loss': 0.13403411209583282, 'track_val_mrr': 0.711839951710018, 'track_val_loss': 0.36427736282348633, 'train_sec': 1078.7, 'track_eval_sec': 1189.8, 'peak_gpu_mem_mb': 9996.5}
checkpoint saved: results/event_bench/leakfree2/wd_f_s47/best.pt
final val_mrr=0.6405 (2058.9s so far)
FINAL val_mrr=0.6405 test_mrr=0.5323 test_hits10=0.5952 eval_sec=3026.9
{
  "dataset": "tkgl-wikidata",
  "model": "FaithfulEventTemporalSheaf",
  "seed": 47,
  "epochs": 4,
  "best_track_epoch": 3,
  "best_track_val_mrr": 0.7129428683882704,
  "parameter_count": 355253,
  "commit_hash": "09c27e8f3879cb2cebf51a3f945374c3edfeb766",
  "train_edges": 2000000,
  "final_val_edges": 2869900,
  "final_test_edges": 2877500,
  "validation_mrr": 0.6404688045006894,
  "test_mrr": 0.532305703439783,
  "final_val_loss": 0.26579537987709045,
  "final_test_loss": 0.41873735189437866,
  "final_eval_sec": 3026.9,
  "final_eval_peak_gpu_mem_mb": 8794.2,
  "test_hits10": 0.5951610774787377
}
